paper_id,candidate_kind,tuple_id,gt_index,ai_index,reason,expert_judgment,expert_rationale
PMID_15339850,ai_improvement,"KRAS,NRAS|MUTATION|ExPCT|null",,1,Results section shows RAS mutations in 3/6 extramedullary but 0/13 intramedullary samples from ExPCT patients,,
PMID_15339850,ai_improvement,"KRAS,NRAS|MUTATION + cyclin D1|Multiple Myeloma|null",,2,Results show significant association between RAS mutations and cyclin D1 expression (P=0.015),,
PMID_15339850,ai_improvement,"KRAS,NRAS|MUTATION + t(4;14)|Multiple Myeloma|null",,3,Results show reduced RAS mutation frequency in t(4;14) subset (P=0.055),,
PMID_15339850,field:OVER_SPECIFIED_BEYOND_PAPER,"KRAS,NRAS|MUTATION|Multiple Myeloma|Melphalan",,,variant_names flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_15339850,field:OVER_SPECIFIED_BEYOND_PAPER,"KRAS,NRAS|MUTATION|Multiple Myeloma|Melphalan",,,therapy_names flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_15339850,field:OVER_SPECIFIED_BEYOND_PAPER,"KRAS,NRAS|MUTATION|Multiple Myeloma|Melphalan",,,evidence_type flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_15339850,field:OVER_SPECIFIED_BEYOND_PAPER,"KRAS,NRAS|MUTATION|Multiple Myeloma|Melphalan",,,evidence_significance flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_16091734,ai_improvement,FGFR3|K650E|Pre-B Cell Lymphoma|Midostaurin,,1,PKC412 showed significant survival benefit in murine model of FGFR3 TDII (K650E)-induced pre-B cell lymphoma (P=0.0006),,
PMID_16091734,ai_improvement,ETV6-FGFR3|Fusion|Myeloproliferative Neoplasm|Midostaurin,,4,PKC412 showed efficacy against TEL-FGFR3 fusion in myeloproliferative disease model (P<0.0001),,
PMID_16091734,ai_improvement,ETV6-FGFR3|Fusion|Peripheral T-cell Lymphoma|Midostaurin,,5,Paper suggests PKC412 efficacy for t(4;12) TEL-FGFR3-induced peripheral T-cell lymphoma based on preclinical data,,
PMID_18528420,ai_improvement,NRAS|Q61|Multiple Myeloma|,,6,"64/74 NRAS mutations at codon 61, associated with aggressive disease features but not survival",,
PMID_18528420,ai_improvement,"KRAS,NRAS|MUTATION|Multiple Myeloma|",,3,RAS mutations associated with malignant transformation from MGUS to MM (7% vs 25% vs 45% in MGUS/new MM/relapsed MM),,
PMID_19381019,ai_improvement,FGFR3|S249C|Bladder Carcinoma|R3Mab,,0,"Figure 5C-E, Figure 7D-E showing efficacy against S249C mutant bladder cancer",,
PMID_19381019,ai_improvement,FGFR3|EXPRESSION|Bladder Carcinoma|null,,7,Figure 1A-D showing oncogenic role through knockdown studies,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,feature_names flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,variant_names flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,disease_name flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,therapy_names flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,evidence_type flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,evidence_level flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,evidence_direction flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_19381019,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,FGFR3|S249C|Bladder Carcinoma|R3Mab,,,evidence_significance flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_23480694,ai_improvement,CRBN|R283K|Multiple Myeloma|IMiDs,,1,Page 2: 'a Q99* truncating mutation as well as a R283K point mutation were observed in CRBN',,
PMID_23480694,ai_improvement,PSMG2|E171K|Multiple Myeloma|Bortezomib,,2,"Page 2: 'nonsynonymous point mutation in proteasome assembly chaperone 2, PSMG2 (E171K)...possibly explaining this patient's bortezomib-refractory disease'",,
PMID_23480694,ai_improvement,NR3C1|G369A|Multiple Myeloma|Dexamethasone,,3,"Page 2: 'NR3C1 (G369A)...has been associated with resistance to steroid therapy, which this patient received and proved refractory'",,
PMID_23480694,field:OVER_SPECIFIED_BEYOND_PAPER,"CRBN|Q99*|Multiple Myeloma|Lenalidomide,Pomalidomide",,,variant_names flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_23480694,field:PARTIAL_MATCH_OR_UNDER_SPECIFIED,"CRBN|Q99*|Multiple Myeloma|Lenalidomide,Pomalidomide",,,therapy_names flagged as PARTIAL_MATCH_OR_UNDER_SPECIFIED,,
PMID_23612012,ai_improvement,BRAF|V600E|Multiple Myeloma|,,1,Four of seven BRAF-mutated patients (57%) developed extramedullary disease vs 17% of controls (p=0.02),,
PMID_23612012,ai_improvement,BRAF|V600E|Multiple Myeloma|Vemurafenib,,2,Patient with BRAF V600E achieved partial response to vemurafenib with tumor regression and durable response,,
PMID_24997557,ai_improvement,BRAF|V600E|Multiple Myeloma|,,2,Discussion section clearly states prognostic significance of BRAF V600E in multiple myeloma with supporting data from referenced study,,
PMID_26193344,ai_hallucinated,HLA-A|A*0201 POSITIVE STATUS|Multiple Myeloma|NY-ESO-259 TCR T-cells,,0,"While HLA-A*0201 is required for therapy, this is a technical requirement rather than a predictive biomarker finding",,
PMID_26193344,ai_improvement,CTAG1B|LOSS|Multiple Myeloma|NY-ESO-259 TCR T-cells,,3,Results section shows antigen loss as resistance mechanism: 'In no cases was an antigen-positive tumor relapse observed in the presence of engineered cells at ≥6 cells/μl',,
PMID_26193344,ai_improvement,CTAG2|LOSS|Multiple Myeloma|NY-ESO-259 TCR T-cells,,4,Results section shows LAGE-1 loss correlates with resistance,,
PMID_26193344,ai_improvement,CTAG1B|EXPRESSION|Multiple Myeloma|,,6,Introduction states NY-ESO-1 expression correlates with proliferation and high-risk features,,
